frame,left_elbow_3D,left_elbow_front,left_elbow_side,left_elbow_top,left_hip_3D,left_hip_front,left_hip_side,left_hip_top,left_knee_3D,left_knee_front,left_knee_side,left_knee_top,left_shoulder_3D,left_shoulder_front,left_shoulder_side,left_shoulder_top,right_elbow_3D,right_elbow_front,right_elbow_side,right_elbow_top,right_hip_3D,right_hip_front,right_hip_side,right_hip_top,right_knee_3D,right_knee_front,right_knee_side,right_knee_top,right_shoulder_3D,right_shoulder_front,right_shoulder_side,right_shoulder_top
1,91.85613734011298,96.4664981372455,3.960375262075053,130.7142060692131,157.50207729000059,157.92343371509392,175.23022373186473,21.641954629801173,166.8327004213092,169.92215724863775,171.39734520653377,56.94028508603844,161.2699606724083,161.12314095574638,140.70181289109235,177.8802049620315,99.60225456926347,106.54239575031808,57.23784197639058,120.44048841447814,141.31595045667765,141.7581929892639,173.135942162739,83.47871753905484,168.96796021620145,169.03332794610185,178.85762177620265,174.85588786288753,59.22752944913688,61.63774429745565,42.73507243115685,28.430122961477473
2,93.63888611991948,100.13357960720731,3.856933070595989,128.36107634812967,158.75667513637288,159.1895366768265,175.28389588854208,49.262554936399475,168.83959188968538,173.09610854633385,171.15196031209692,91.64682057159406,162.84142426274772,162.40185342231274,151.93152436050008,178.92291000906567,63.94723650380245,70.78870595607984,18.17815216123162,89.93088137273799,145.07691064599788,145.23846621119748,175.19484034218107,87.73508201766704,171.34402237266832,171.33497349643324,179.0627022076998,178.61723986699218,64.03328346771124,66.97980529658147,31.25119706015662,47.46574668196192
3,92.75486275278396,100.13609897443105,3.188375572964156,125.8625455835612,158.89037446736617,159.31632882783416,175.3238003513162,63.69537392155282,169.0345751325489,173.49693528639432,171.0966617553144,107.26769596051658,163.12922698113368,162.70762037007174,156.62884310372476,177.20035308169156,64.28956892264144,70.49926162040971,13.949848315323603,89.97223873860743,147.00697343472598,147.06455950694894,176.03742379602684,89.36941406669895,172.36178447108765,172.4319689029869,178.32119279143768,179.8653011356797,64.79292144206168,67.78858132042122,27.717202057492145,51.640294393805675
4,92.52512220107903,100.12608812648554,2.718717448838304,125.26341524987764,160.2525318936758,160.7125231125305,175.3103736994156,165.83843716739392,169.58301482831672,174.5523760401084,171.04356870428305,152.45441158712958,163.69243020198778,163.36120546050293,159.85343046900795,176.4609769505252,57.56809070597448,63.02615175553184,9.434080200574765,85.2347363609323,147.74344124235444,147.71116153058176,176.79260923439833,91.60426204313224,172.81662563337318,173.01113565261906,177.70024593292143,178.55575089693835,65.66328579494481,68.63609949108188,24.88149756820691,55.18974872233092
5,91.69726848756882,99.71564136232716,0.7074933548548854,123.77070229453976,160.64542431282172,161.07431471676472,175.48354335902056,166.85474544682728,169.7592644118054,174.96601783243418,171.00395300914488,150.91427536600398,164.13708444829936,164.01362915497558,163.59965448956325,175.13354862833577,50.09229443048856,54.77045382648848,5.13567728252325,79.46880893765328,148.62636918395597,148.52467236113364,177.4609301284701,93.49063290727047,173.5438745214305,173.91302518484676,177.2221010378548,177.36599674821866,66.69652882434087,69.70835487791604,22.435557094653202,59.04042109620809
6,92.62764262895944,100.27444964211824,0.6428332441259395,125.4826892505825,161.21868987570008,161.6241832840849,175.63646780460135,170.14712716801284,170.09781473458034,175.98789190520029,170.87741926703507,145.60634837574958,165.2690362555044,165.40974959408732,167.86648128727438,174.6069955434861,37.72674318304709,41.61267541443354,6.517721430004367,62.39730287404048,148.88071985655628,148.73601114812863,178.15231107799752,95.37283845074425,173.66309515508038,174.01278062723938,177.29506554602054,177.5395273700735,70.11045781601275,73.05453108296707,19.10513201921469,68.06951983176786
7,92.41018743268356,100.56234091601964,1.3362815272324808,124.33572537749163,160.5223617076426,160.88778236442374,175.75233216275095,162.08330305367818,170.49873184382636,178.0773214330174,170.67317728915745,140.65739869803284,165.1683512147126,165.4338110218489,168.67381026829153,174.00635175858966,49.88012115201216,54.07495013571839,7.423394956611555,76.02693414526638,148.8908198202662,148.7577543537327,178.04455219451978,96.75949076043491,173.62447159774726,173.90748071073406,177.49411859748386,177.9850175734869,69.0830332040601,71.92711514663625,20.661886217024897,64.79796877157273
8,92.97060997257775,101.28295733232937,1.7760113689382602,124.78101495015085,160.17041844662546,160.4943541995187,175.9175299116243,155.81070471182102,170.40871031023923,177.7378461532356,170.6539635151119,147.20606791271408,165.1005229575511,165.4698897519634,169.47091266214747,173.62573462365935,57.9832803076583,63.501716536043176,16.459881827902528,77.63940512375792,148.9975769938456,148.870862225792,178.02907042097524,97.68198628475406,173.7416754603245,173.94131667164353,177.82060116578626,178.63886966435865,68.52736442961486,71.26553096616715,20.75780907955191,63.238486191823824
9,92.78527524534805,100.70660311984886,2.8185585019621713,125.40392049127146,161.91470600882778,162.17025211472202,176.41784151227014,166.19340832257075,171.26460359803434,177.5698214150078,171.55575442894013,147.03594978695043,165.2533150125474,166.18932590849573,174.3248279585432,172.4107835308908,42.23696884163922,46.746627412053925,14.09175016642268,59.0074303022607,149.16021142527038,149.00921879159935,178.70703193177215,98.87448481958535,174.00626315030777,174.17784610791313,177.9889362954905,178.8431846277395,71.52951224094382,74.03304754904299,15.344151723054049,72.48111155090965
10,92.81666179374514,100.4325930101338,2.631883213089302,126.10437258668618,161.67452062278062,161.905434966131,176.52889030822323,163.8853099116887,171.3386036683054,177.32061628156308,171.70706489885944,149.80118732072296,165.278260762629,166.2499145518464,175.02532296630554,172.40322446657723,46.60989740168362,51.57906375055657,15.025198079824706,62.946705797079304,149.0320228381061,148.87776079156765,178.8747225424662,98.91374088392065,174.18048012524858,174.34584201945063,178.04836745794194,178.86530891355707,71.42435815872135,73.77052073917096,14.025761870799387,72.5405492179966
